id,count,age,sex,origin,prior,family,origin_org,assumed_origin,y,type,age2,age3
3,1,-0.20283443901544282,male,ABROAD,no prior,no family,NL,False,0,$f_1$,0.04114180965070939,-0.008344975880581772
4,2,-1.1081740707545946,male,BXL,no prior,no family,BXL,False,1,$f_2$,1.2280497710928093,-1.3608929139211665
5,1,-0.8992495403532519,male,BE,prior,no family,HE,False,0,$f_1$,0.8086497358255348,-0.7271779032478908
6,2,0.9114297231250517,female,BXL,no prior,no family,BXL,False,1,$f_2$,0.8307041401958083,0.7571284444974997
7,2,-0.6903250099519092,male,BXL,no prior,family,BXL,False,1,$f_2$,0.47654861936510345,-0.32897343040578364
8,1,0.2846561319210235,male,BXL,no prior,family,BXL,False,0,$f_1$,0.08102911344023914,0.023065434004888294
9,1,1.1899957636601752,female,BXL,no prior,family,BXL,False,0,$f_1$,1.4160899175291637,1.6851410028215916
10,1,-0.6206834998181282,male,BE,prior,family,LU,False,0,$f_1$,0.38524800694648037,-0.23911708124949999
11,1,-0.063551418747881,male,BE,prior,family,OV,False,0,$f_1$,0.004038782824868521,-0.0002566703785349692
15,1,0.1453731116534617,male,BE,no prior,no family,PA,False,0,$f_1$,0.02113334159180984,0.003072219626836918
16,1,0.42393915218858536,male,BE,prior,family,A,False,0,$f_1$,0.17972440475837653,0.0761922117808643
17,1,-0.6903250099519092,male,BXL,prior,family,BXL,False,0,$f_1$,0.47654861936510345,-0.32897343040578364
20,1,-0.4814004795505664,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.23174642171151533,-0.11156283854605127
21,1,0.21501462178724262,male,BE,prior,no family,PA,False,0,$f_1$,0.04623128758231099,0.009940402814247844
22,1,-0.4814004795505664,male,BE,no prior,family,BR,False,0,$f_1$,0.23174642171151533,-0.11156283854605127
23,1,-0.063551418747881,male,BXL,no prior,family,BXL,False,0,$f_1$,0.004038782824868521,-0.0002566703785349692
25,1,-0.6206834998181282,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.38524800694648037,-0.23911708124949999
28,1,0.42393915218858536,male,BXL,no prior,family,BXL,False,0,$f_1$,0.17972440475837653,0.0761922117808643
29,1,-1.2474570910221563,male,BXL,no prior,family,BXL,False,0,$f_1$,1.5561491939414602,-1.9412293466706874
30,1,-0.5510419896843474,male,BXL,no prior,family,BXL,False,0,$f_1$,0.3036472743952844,-0.1673223982450065
32,1,0.1453731116534617,male,BE,no prior,no family,BR,False,0,$f_1$,0.02113334159180984,0.003072219626836918
35,1,1.3292787839277371,male,BXL,prior,no family,BXL,False,0,$f_1$,1.7669820854004037,2.3488117977031453
36,1,0.49358066232236625,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.24362187021858572,0.1202470440587031
42,2,0.21501462178724262,male,BXL,no prior,no family,BXL,False,1,$f_2$,0.04623128758231099,0.009940402814247844
43,1,1.0507127433926136,male,BXL,no prior,no family,BXL,False,0,$f_1$,1.103997269127632,1.1599839993430479
45,1,0.42393915218858536,male,BXL,no prior,family,BXL,False,0,$f_1$,0.17972440475837653,0.0761922117808643
46,1,1.0507127433926136,male,BE,no prior,family,WV,False,0,$f_1$,1.103997269127632,1.1599839993430479
48,1,1.8864108649979843,male,ABROAD,no prior,no family,FR,False,0,$f_1$,3.558545951582443,6.712879746659712
49,1,-1.2474570910221563,male,BXL,no prior,no family,BXL,False,0,$f_1$,1.5561491939414602,-1.9412293466706874
50,1,-1.2474570910221563,male,BXL,prior,family,BXL,False,0,$f_1$,1.5561491939414602,-1.9412293466706874
51,1,0.7025051927237089,male,BE,no prior,family,WV,False,0,$f_1$,0.49351354580377543,0.3466958286066422
52,1,0.42393915218858536,male,ABROAD,no prior,no family,NL,False,0,$f_1$,0.17972440475837653,0.0761922117808643
53,1,-0.8992495403532519,female,ABROAD,no prior,no family,DL,False,0,$f_1$,0.8086497358255348,-0.7271779032478908
54,1,1.2596372737939563,male,BE,no prior,family,A,False,0,$f_1$,1.5866860615310705,1.9986489049138672
56,1,1.2596372737939563,male,BXL,no prior,family,BXL,False,0,$f_1$,1.5866860615310705,1.9986489049138672
57,1,-1.3867401112897182,male,BXL,no prior,family,BXL,False,0,$f_1$,1.92304813625982,-2.666767986492428
58,1,-0.8992495403532519,male,BXL,no prior,family,BXL,False,0,$f_1$,0.8086497358255348,-0.7271779032478908
59,1,-0.063551418747881,male,BXL,prior,family,BXL,False,0,$f_1$,0.004038782824868521,-0.0002566703785349692
60,1,2.4435429460682316,female,BE,no prior,family,LI,False,0,$f_1$,5.970902129279812,14.590155779665471
64,2,0.2846561319210235,male,BE,no prior,no family,GE,False,1,$f_2$,0.08102911344023914,0.023065434004888294
65,1,-1.1081740707545946,male,BE,no prior,no family,HE,False,0,$f_1$,1.2280497710928093,-1.3608929139211665
66,1,-0.8992495403532519,female,ABROAD,no prior,no family,DL,False,0,$f_1$,0.8086497358255348,-0.7271779032478908
69,1,-0.063551418747881,male,BE,no prior,no family,A,False,0,$f_1$,0.004038782824868521,-0.0002566703785349692
70,1,0.1453731116534617,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.02113334159180984,0.003072219626836918
73,1,0.9810712332588326,male,BE,no prior,no family,BR,False,0,$f_1$,0.9625007647280067,0.9442818122642751
74,2,0.2846561319210235,male,BE,no prior,no family,HE,False,1,$f_2$,0.08102911344023914,0.023065434004888294
75,1,-1.456381621423499,male,BXL,no prior,family,BXL,False,0,$f_1$,2.12104742722014,-3.0890544911710087
76,1,0.07573160151968081,male,BXL,prior,family,BXL,False,0,$f_1$,0.00573527546873572,0.00043434159640389413
79,1,-0.6206834998181282,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.38524800694648037,-0.23911708124949999
80,2,0.2846561319210235,male,BXL,no prior,no family,BXL,False,1,$f_2$,0.08102911344023914,0.023065434004888294
82,2,1.5382033143290799,female,BE,prior,no family,BR,False,1,$f_2$,2.366069436212966,3.639495848715522
85,1,0.9114297231250517,male,BE,no prior,family,BR,False,0,$f_1$,0.8307041401958083,0.7571284444974997
86,1,-1.3170986011559374,female,BXL,no prior,family,BXL,False,0,$f_1$,1.734748725166927,-2.284835119274405
88,1,-1.3170986011559374,male,BXL,no prior,no family,BXL,False,0,$f_1$,1.734748725166927,-2.284835119274405
89,1,0.8417882129912707,male,ABROAD,no prior,no family,DL,False,0,$f_1$,0.7086073955310369,0.5964973531964701
91,1,-0.6206834998181282,female,ABROAD,no prior,no family,FR,False,0,$f_1$,0.38524800694648037,-0.23911708124949999
93,1,1.6078448244628607,male,BXL,no prior,no family,BXL,False,0,$f_1$,2.5851649795520073,4.156544132755332
94,1,-0.6206834998181282,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.38524800694648037,-0.23911708124949999
97,1,-1.0385325606208136,male,BXL,no prior,family,BXL,False,0,$f_1$,1.0785498794696238,-1.1201091680828583
98,1,-1.3170986011559374,female,BXL,no prior,family,BXL,False,0,$f_1$,1.734748725166927,-2.284835119274405
100,1,0.9114297231250517,male,BE,no prior,no family,A,False,0,$f_1$,0.8307041401958083,0.7571284444974997
102,1,2.30425992580067,female,BXL,no prior,no family,BXL,False,0,$f_1$,5.309613805650909,12.234730313839377
104,2,1.3292787839277371,male,BXL,prior,family,BXL,False,1,$f_2$,1.7669820854004037,2.3488117977031453
105,1,1.3292787839277371,male,BXL,no prior,family,BXL,False,0,$f_1$,1.7669820854004037,2.3488117977031453
107,1,0.5632221724561471,male,BE,no prior,no family,A,False,0,$f_1$,0.31721921554622196,0.17866489572477792
108,1,-0.1331929288816619,male,BE,no prior,no family,BR,False,0,$f_1$,0.017740356304075444,-0.002362890015544063
109,1,-0.7599665200856901,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.5775491116511536,-0.4389179885601089
110,2,-1.8742306822261845,female,ABROAD,no prior,no family,IT,False,1,$f_2$,3.512740650198029,-6.583686305304303
112,2,0.006090091385899905,male,BXL,no prior,no family,BXL,False,1,$f_2$,3.708921308861222e-05,2.258766971407633e-07
113,2,-0.4117589694167855,male,BE,prior,no family,A,False,1,$f_2$,0.1695454488951733,-0.06981185930638284
115,1,-0.6206834998181282,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.38524800694648037,-0.23911708124949999
119,2,-0.34211745928300463,male,BXL,no prior,no family,BXL,False,1,$f_2$,0.11704435594625834,-0.04004291767974954
120,1,-0.6206834998181282,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.38524800694648037,-0.23911708124949999
122,1,1.5382033143290799,male,BE,no prior,no family,WV,False,0,$f_1$,2.366069436212966,3.639495848715522
124,1,-0.8296080302194709,male,BE,no prior,no family,PA,False,0,$f_1$,0.6882494838046306,-0.5709772985587273
125,1,-0.8296080302194709,male,BE,no prior,no family,LU,False,0,$f_1$,0.6882494838046306,-0.5709772985587273
126,1,0.49358066232236625,male,BE,no prior,no family,GE,False,0,$f_1$,0.24362187021858572,0.1202470440587031
127,1,0.7025051927237089,male,BE,no prior,no family,BR,False,0,$f_1$,0.49351354580377543,0.3466958286066422
129,1,2.2346184156668887,male,BXL,no prior,no family,BXL,False,0,$f_1$,4.993519463637596,11.158610552435615
130,1,-0.5510419896843474,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.3036472743952844,-0.1673223982450065
132,1,-0.1331929288816619,male,BE,no prior,no family,BR,False,0,$f_1$,0.017740356304075444,-0.002362890015544063
134,1,-1.6653061518248418,male,BXL,no prior,no family,BXL,False,0,$f_1$,2.773244579305663,-4.6183012584326155
136,1,-1.1081740707545946,male,BXL,no prior,no family,BXL,False,0,$f_1$,1.2280497710928093,-1.3608929139211665
137,1,-1.1778155808883755,male,ABROAD,prior,no family,FR,False,0,$f_1$,1.3872495425834213,-1.6339241258350254
138,1,0.07573160151968081,male,BXL,no prior,family,BXL,False,0,$f_1$,0.00573527546873572,0.00043434159640389413
139,1,-0.20283443901544282,male,BXL,no prior,family,BXL,False,0,$f_1$,0.04114180965070939,-0.008344975880581772
141,1,-0.27247594914922374,male,BE,no prior,family,BR,False,0,$f_1$,0.07424314286477036,-0.020229470819899724
144,1,0.42393915218858536,male,BE,no prior,family,OV,False,0,$f_1$,0.17972440475837653,0.0761922117808643
146,1,-1.456381621423499,male,BXL,no prior,no family,BXL,False,0,$f_1$,2.12104742722014,-3.0890544911710087
147,1,1.6078448244628607,male,BE,no prior,no family,WV,False,0,$f_1$,2.5851649795520073,4.156544132755332
148,2,-0.1331929288816619,male,ABROAD,no prior,no family,FR,False,1,$f_2$,0.017740356304075444,-0.002362890015544063
151,2,0.9810712332588326,male,BE,prior,no family,OV,False,1,$f_2$,0.9625007647280067,0.9442818122642751
154,1,0.7721467028574899,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.5962105307336928,0.460361995514935
155,1,0.42393915218858536,male,BE,prior,no family,HE,False,0,$f_1$,0.17972440475837653,0.0761922117808643
157,1,-1.1081740707545946,male,ABROAD,no prior,no family,FR,False,0,$f_1$,1.2280497710928093,-1.3608929139211665
160,1,-0.6206834998181282,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.38524800694648037,-0.23911708124949999
161,1,-1.3170986011559374,male,BXL,no prior,no family,BXL,False,0,$f_1$,1.734748725166927,-2.284835119274405
163,1,0.2846561319210235,male,BXL,prior,no family,BXL,False,0,$f_1$,0.08102911344023914,0.023065434004888294
164,1,0.006090091385899905,male,BE,prior,no family,WV,False,0,$f_1$,3.708921308861222e-05,2.258766971407633e-07
165,2,1.4685618041952988,male,BE,prior,no family,BR,False,1,$f_2$,2.156673772741351,3.1672087267577202
167,1,1.5382033143290799,female,BE,no prior,no family,BR,False,0,$f_1$,2.366069436212966,3.639495848715522
168,1,0.7025051927237089,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.49351354580377543,0.3466958286066422
170,1,1.2596372737939563,male,BE,no prior,no family,LU,False,0,$f_1$,1.5866860615310705,1.9986489049138672
172,2,0.9810712332588326,male,BE,no prior,no family,OV,False,1,$f_2$,0.9625007647280067,0.9442818122642751
173,1,-0.4814004795505664,male,BXL,no prior,family,BXL,False,0,$f_1$,0.23174642171151533,-0.11156283854605127
174,1,0.07573160151968081,male,ABROAD,no prior,family,FR,False,0,$f_1$,0.00573527546873572,0.00043434159640389413
175,1,0.9810712332588326,male,ABROAD,no prior,no family,NL,False,0,$f_1$,0.9625007647280067,0.9442818122642751
176,2,1.0507127433926136,female,BXL,no prior,family,BXL,False,1,$f_2$,1.103997269127632,1.1599839993430479
177,1,-0.6903250099519092,male,BXL,no prior,family,BXL,False,0,$f_1$,0.47654861936510345,-0.32897343040578364
179,1,-0.5510419896843474,female,ABROAD,no prior,no family,FR,False,0,$f_1$,0.3036472743952844,-0.1673223982450065
181,1,1.5382033143290799,male,BE,no prior,no family,BR,False,0,$f_1$,2.366069436212966,3.639495848715522
183,1,0.7025051927237089,male,BE,no prior,no family,OV,False,0,$f_1$,0.49351354580377543,0.3466958286066422
184,1,-0.9688910504870327,male,BE,no prior,no family,A,False,0,$f_1$,0.9387498677138658,-0.9095463454738504
185,1,-0.8296080302194709,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.6882494838046306,-0.5709772985587273
186,1,1.6078448244628607,male,BXL,no prior,no family,BXL,False,0,$f_1$,2.5851649795520073,4.156544132755332
187,1,0.2846561319210235,female,BE,no prior,family,BR,False,0,$f_1$,0.08102911344023914,0.023065434004888294
188,1,-1.3170986011559374,male,BXL,no prior,family,BXL,False,0,$f_1$,1.734748725166927,-2.284835119274405
189,1,-1.0385325606208136,male,BE,no prior,family,OV,False,0,$f_1$,1.0785498794696238,-1.1201091680828583
195,1,-1.1778155808883755,male,BXL,no prior,no family,BXL,False,0,$f_1$,1.3872495425834213,-1.6339241258350254
196,1,-0.063551418747881,male,BE,no prior,no family,PA,False,0,$f_1$,0.004038782824868521,-0.0002566703785349692
197,1,-0.4814004795505664,male,ABROAD,no prior,no family,FR,False,0,$f_1$,0.23174642171151533,-0.11156283854605127
198,2,0.5632221724561471,male,BE,no prior,no family,pLux,False,1,$f_2$,0.31721921554622196,0.17866489572477792
199,2,-0.9688910504870327,male,BXL,no prior,no family,BXL,False,1,$f_2$,0.9387498677138658,-0.9095463454738504
200,1,0.49358066232236625,female,BE,no prior,no family,BR,False,0,$f_1$,0.24362187021858572,0.1202470440587031
208,1,-1.1778155808883755,male,ABROAD,no prior,no family,FR,False,0,$f_1$,1.3872495425834213,-1.6339241258350254
209,1,0.006090091385899905,male,BE,no prior,no family,GE,False,0,$f_1$,3.708921308861222e-05,2.258766971407633e-07
211,2,-0.4117589694167855,male,BXL,prior,no family,BXL,False,1,$f_2$,0.1695454488951733,-0.06981185930638284
